episode,has_audio,raw_audio_occurrences,unique_audio_url_count,canonical_audio_occurrences,mirror_audio_occurrences,episode_page_occurrences,canonical_post_count,titles
15,yes,10,3,10,0,36,1,Episode 15: Six Ways Others Can Help You Build Your Business | Episode 15: Six Ways Others Can Help You Build Your Business - The Official BNI Podcast
16,yes,10,2,10,0,47,1,Episode 16: More Hidden Elements | Episode 16: More Hidden Elements - The Official BNI Podcast
17,yes,10,3,10,0,34,1,"Episode 17: The Six ""Ps"" of Networking - The Official BNI Podcast | Episode 17: The Six “Ps” of Networking"
18,yes,10,3,10,0,33,1,Episode 18: Why Introverts Can Be Great Networkers | Episode 18: Why Introverts Can Be Great Networkers - The Official BNI Podcast
19,yes,10,3,10,0,4,1,"Episode 19: Givers Gain, Chapter Three"
20,yes,10,2,10,0,1,1,Episode 20: Masters of Sales
21,yes,10,3,10,0,41,1,Episode 21: You Might Be A BNI Member If... - The Official BNI Podcast | Episode 21: You Might Be A BNI Member If…
22,yes,10,3,10,0,32,1,Episode 22: Salespeople Don't Live On Referrals Alone - The Official BNI Podcast | Episode 22: Salespeople Don’t Live On Referrals Alone
23,yes,10,3,10,0,1,1,"Episode 23: Givers Gain, Chapter 4"
24,yes,10,2,10,0,36,1,Episode 24: Speed Networking | Episode 24: Speed Networking - The Official BNI Podcast
25,yes,1,1,0,1,0,0,
26,yes,10,3,10,0,35,1,Episode 26: Why Business Networking Works | Episode 26: Why Business Networking Works - The Official BNI Podcast
27,yes,10,3,10,0,41,1,Episode 27: Less Is More | Episode 27: Less Is More - The Official BNI Podcast
28,yes,10,2,10,0,29,1,"Episode 28: ""Act As If. . ."" for BNI Meetings - The Official BNI Podcast | Episode 28: “Act As If. . .” for BNI Meetings"
29,yes,10,3,10,0,33,1,Episode 29: Out of Line-Online! - The Official BNI Podcast | Episode 29: Out of Line–Online!
30,yes,10,3,10,0,40,1,"Episode 30: You Can Network Anytime, Anyplace | Episode 30: You Can Network Anytime, Anyplace - The Official BNI Podcast"
31,yes,15,4,15,0,57,1,Episode 31: Givers Gain Chapter 5 | Episode 31: Givers Gain Chapter 5 - The Official BNI Podcast
32,yes,15,3,15,0,62,1,"Episode 32: The Ten Commandments of Networking, Part I"
33,yes,15,3,15,0,54,1,"Episode 33: The Ten Commandments of Networking, Part II | Episode 33: The Ten Commandments of Networking, Part II - The Official BNI Podcast"
34,yes,15,3,15,0,38,1,Episode 34: Networking at Conferences and Trade Shows | Episode 34: Networking at Conferences and Trade Shows - The Official BNI Podcast
35,yes,15,2,15,0,52,1,"Episode 35: Givers Gain, Chapter 6 | Episode 35: Givers Gain, Chapter 6 - The Official BNI Podcast"
36,yes,10,3,10,0,47,1,Episode 36: “Changing the Way the World Does Business” | Episode 36: “Changing the Way the World Does Business” - The Official BNI Podcast
37,yes,10,3,10,0,37,1,Episode 37: You're the Average of the 5 People You Hang Out with Most - The Official BNI Podcast | Episode 37: You’re the Average of the 5 People You Hang Out with Most
38,yes,10,3,10,0,29,1,Episode 38: International Networking Week | Episode 38: International Networking Week - The Official BNI Podcast
39,yes,10,2,10,0,42,1,Episode 39: “Making Your Next Presentation Sparkle” | Episode 39: “Making Your Next Presentation Sparkle” - The Official BNI Podcast
40,yes,10,3,10,0,37,1,Episode 40: “Networking with Brian Tracy” | Episode 40: “Networking with Brian Tracy” - The Official BNI Podcast
41,yes,10,3,10,0,38,1,Episode 41: “Time Management with Brian Tracy” | Episode 41: “Time Management with Brian Tracy” - The Official BNI Podcast
42,yes,10,3,10,0,34,1,Episode 42: BNI Networking Secrets | Episode 42: BNI Networking Secrets - The Official BNI Podcast
43,yes,10,2,10,0,41,1,Episode 43: “The BNI Foundation: What Every Member Should Know” | Episode 43: “The BNI Foundation: What Every Member Should Know” - The Official BNI Podcast
44,yes,10,3,10,0,36,1,Episode 44: “Networking Trends” | Episode 44: “Networking Trends” - The Official BNI Podcast
45,yes,10,3,10,0,46,1,Episode 45: Givers Gain Chapter 7: Going International | Episode 45: Givers Gain Chapter 7: Going International - The Official BNI Podcast
46,yes,10,3,10,0,45,1,"Episode 46: Small Actions, Big Results | Episode 46: Small Actions, Big Results - The Official BNI Podcast"
47,yes,10,2,10,0,33,1,Episode 47: BNI’s Word of Mouth Curriculum | Episode 47: BNI’s Word of Mouth Curriculum - The Official BNI Podcast
48,yes,10,3,10,0,44,1,Episode 48: How to Combat a Slow Economy | Episode 48: How to Combat a Slow Economy - The Official BNI Podcast
49,yes,10,3,10,0,43,1,Episode 49: Conquer Your Fear of Public Speaking | Episode 49: Conquer Your Fear of Public Speaking - The Official BNI Podcast
50,yes,10,3,10,0,36,1,Episode 50: What’s in It for Me? | Episode 50: What’s in It for Me? - The Official BNI Podcast
51,yes,10,3,10,0,51,1,"Episode 51: Givers Gain, Chapter 8-A New Audience - The Official BNI Podcast | Episode 51: Givers Gain, Chapter 8–A New Audience"
52,yes,10,2,10,0,32,1,Episode 52: Sales Quenchers and BNI | Episode 52: Sales Quenchers and BNI - The Official BNI Podcast
53,yes,10,3,10,0,31,1,Episode 53: Global Networking | Episode 53: Global Networking - The Official BNI Podcast
54,yes,10,3,10,0,1,1,Epiode 54: Responsibility and Referrals
55,yes,10,3,10,0,47,1,Episode 55: Givers Gain Chapter 9—A New Millennium | Episode 55: Givers Gain Chapter 9—A New Millennium - The Official BNI Podcast
56,yes,10,2,10,0,39,1,Episode 56: “I Absolutely Refuse to Participate in a Recession” | Episode 56: “I Absolutely Refuse to Participate in a Recession” - The Official BNI Podcast
57,yes,10,3,10,0,33,1,Episode 57: Referral Marketing is a Risky Business | Episode 57: Referral Marketing is a Risky Business - The Official BNI Podcast
58,yes,10,3,10,0,49,1,"Episode 58: Givers Gain, Chapter 10—Part 1 | Episode 58: Givers Gain, Chapter 10—Part 1 - The Official BNI Podcast"
59,yes,10,3,10,0,51,1,"Episode 59: “Givers Gain, Chapter 10—Part 2” | Episode 59: “Givers Gain, Chapter 10—Part 2” - The Official BNI Podcast"
60,yes,10,2,10,0,35,2,"Episode 60: Local Business, Global Network | Episode 60: Local Business, Global Network - The Official BNI Podcast | Marcus Emery’s Referral Success at KL08"
61,yes,10,3,10,0,32,1,Episode 61: Stay in Your Flame | Episode 61: Stay in Your Flame - The Official BNI Podcast
62,yes,10,3,10,0,51,1,"Episode 62: Givers Gain, Chapter 11-20/20 Vision - The Official BNI Podcast | Episode 62: Givers Gain, Chapter 11–20/20 Vision"
63,yes,10,3,10,0,35,1,"Episode 63: ""Remember the Ice"" - The Official BNI Podcast | Episode 63: “Remember the Ice”"
64,yes,10,3,10,0,40,1,"Episode 64: Networking Is Simple, but Not Easy | Episode 64: Networking Is Simple, but Not Easy - The Official BNI Podcast"
65,yes,10,2,10,0,46,1,Episode 65: Storytelling in Business | Episode 65: Storytelling in Business - The Official BNI Podcast
66,yes,10,3,10,0,30,1,Episode 66: “Networking Surveys” | Episode 66: “Networking Surveys” - The Official BNI Podcast
67,yes,10,3,10,0,36,1,Episode 67: “A Referral Doesn’t Mean a Closed Sale” | Episode 67: “A Referral Doesn’t Mean a Closed Sale” - The Official BNI Podcast
68,yes,10,3,10,0,45,1,Episode 68: The Hard Path Is Easier | Episode 68: The Hard Path Is Easier - The Official BNI Podcast
69,yes,10,2,10,0,28,1,Episode 69: Perfect Practice Makes Perfect | Episode 69: Perfect Practice Makes Perfect - The Official BNI Podcast
70,yes,10,3,10,0,36,1,Episode 70: Referrals for the Difficult-to-Refer Business | Episode 70: Referrals for the Difficult-to-Refer Business - The Official BNI Podcast
71,yes,10,3,10,0,37,1,Episode 71: Staying in Touch with Your Clients | Episode 71: Staying in Touch with Your Clients - The Official BNI Podcast
72,yes,10,3,10,0,29,1,Episode 72: Generating More Referrals | Episode 72: Generating More Referrals - The Official BNI Podcast
73,yes,10,2,10,0,33,1,Episode 73: Anticipating Referrals | Episode 73: Anticipating Referrals - The Official BNI Podcast
74,yes,10,3,10,0,37,1,Episode 74: Using BNI in a Cross-Country Move | Episode 74: Using BNI in a Cross-Country Move - The Official BNI Podcast
75,yes,10,3,10,0,38,1,Episode 75: Member Development 101 | Episode 75: Member Development 101 - The Official BNI Podcast
76,yes,10,3,10,0,39,1,Episode 76: Empty Your Purse Into Your Head | Episode 76: Empty Your Purse Into Your Head - The Official BNI Podcast
77,yes,10,3,10,0,37,1,"Episode 77: ""NotWorking"" Is Sometimes Good - The Official BNI Podcast | Episode 77: “NotWorking” Is Sometimes Good"
78,yes,10,2,10,0,39,1,"Episode 78: ""I'm a Baby Boomer; what's a Podcast?"" - The Official BNI Podcast | Episode 78: “I’m a Baby Boomer; what’s a Podcast?”"
79,yes,10,3,10,0,38,1,Episode 79: BNI Foundation Monthly Heroes | Episode 79: BNI Foundation Monthly Heroes - The Official BNI Podcast
80,yes,10,3,10,0,38,1,Episode 80: Specialists Win More Referrals | Episode 80: Specialists Win More Referrals - The Official BNI Podcast
81,yes,10,3,10,0,34,1,Episode 81: Staying on Track | Episode 81: Staying on Track - The Official BNI Podcast
82,yes,15,3,15,0,42,1,Episode 82: Develop a Magnetic Personality | Episode 82: Develop a Magnetic Personality - The Official BNI Podcast
83,yes,15,3,15,0,45,1,Episode 83: Ask Your Own Questions | Episode 83: Ask Your Own Questions - The Official BNI Podcast
84,yes,15,3,15,0,39,1,Episode 84: Get Value for Your Time | Episode 84: Get Value for Your Time - The Official BNI Podcast
85,yes,15,2,15,0,38,1,Episode 85: Why Join a Chamber of Commerce? | Episode 85: Why Join a Chamber of Commerce? - The Official BNI Podcast
86,yes,10,3,10,0,47,2,Episode 86: Raising the Bar | Episode 86: Raising the Bar - The Official BNI Podcast | Winter Break—Happy New Year!
87,yes,10,3,10,0,38,1,Episode 87: “Networking Curriculum at iLearning Global” | Episode 87: “Networking Curriculum at iLearning Global” - The Official BNI Podcast
88,yes,10,3,10,0,41,1,Episode 88: Capture Your Success Stories | Episode 88: Capture Your Success Stories - The Official BNI Podcast
89,yes,10,2,10,0,40,1,Episode 89: Become a Motivational Speaker for Your Business | Episode 89: Become a Motivational Speaker for Your Business - The Official BNI Podcast
90,yes,10,3,10,0,28,1,Episode 90: PR and International Networking Week | Episode 90: PR and International Networking Week - The Official BNI Podcast
91,yes,10,3,10,0,33,1,Episode 91: Create an Informative Newsletter | Episode 91: Create an Informative Newsletter - The Official BNI Podcast
92,yes,10,3,10,0,34,1,Episode 92: Grow Any Business in Any Market | Episode 92: Grow Any Business in Any Market - The Official BNI Podcast
93,yes,10,2,10,0,35,1,Episode 93: “Do What You Love and You’ll Love What You Do”
94,yes,10,3,10,0,37,1,Episode 94: Marketing in a Tough Economy | Episode 94: Marketing in a Tough Economy - The Official BNI Podcast
95,yes,10,3,10,0,32,2,Check Your Subscription | Episode 95: “Find an Accountability Partner” | Episode 95: “Find an Accountability Partner” - The Official BNI Podcast
96,yes,10,3,10,0,1,1,Episode 96: Desperation is NOT Referable
97,yes,10,2,10,0,1,1,Episode 97: OMG–I’m an Introvert?
98,yes,10,3,10,0,29,1,"Episode 98: Build, Educate, Motivate, & Activate | Episode 98: Build, Educate, Motivate, & Activate - The Official BNI Podcast"
99,yes,10,3,10,0,39,1,Episode 99: The Ten Commandments of Business Networking | Episode 99: The Ten Commandments of Business Networking - The Official BNI Podcast
100,yes,10,3,10,0,30,1,"Episode 100: BNI and ""The Last Millionaire"" - The Official BNI Podcast | Episode 100: BNI and “The Last Millionaire”"
101,yes,10,3,10,0,31,1,Episode 101: “How to Really Use LinkedIn” | Episode 101: “How to Really Use LinkedIn” - The Official BNI Podcast
102,yes,10,2,10,0,30,1,Episode 102: “And the Survey Says…” | Episode 102: “And the Survey Says…” - The Official BNI Podcast
103,yes,10,3,10,0,37,1,Episode 103: “Face-to-Face vs. Online Networking” | Episode 103: “Face-to-Face vs. Online Networking” - The Official BNI Podcast
104,yes,10,3,10,0,33,1,Episode 104: “The Networking Trick to Increase Business” | Episode 104: “The Networking Trick to Increase Business” - The Official BNI Podcast
105,yes,10,3,10,0,38,1,Episode 105: “Did I Miss the Memo?” | Episode 105: “Did I Miss the Memo?” - The Official BNI Podcast
106,yes,10,2,10,0,37,1,Episode 106: “What’s Your Story?” | Episode 106: “What’s Your Story?” - The Official BNI Podcast
107,yes,10,3,10,0,41,1,Episode 107: “Networking Faux Pas” | Episode 107: “Networking Faux Pas” - The Official BNI Podcast
108,yes,10,3,10,0,35,1,Episode 108: “Quantum Chapter Growth” | Episode 108: “Quantum Chapter Growth” - The Official BNI Podcast
109,yes,10,3,10,0,36,1,Episode 109: The Way Out: How to Beat the Recession | Episode 109: The Way Out: How to Beat the Recession - The Official BNI Podcast
110,yes,10,2,10,0,39,1,Episode 110: “Ask for Written Testimonials” | Episode 110: “Ask for Written Testimonials” - The Official BNI Podcast
111,yes,10,3,10,0,34,1,Episode 111: 3 Keys to Using Written Testimonials | Episode 111: 3 Keys to Using Written Testimonials - The Official BNI Podcast
112,yes,10,3,10,0,40,1,Episode 112: Networking Lessons from Nature | Episode 112: Networking Lessons from Nature - The Official BNI Podcast
113,yes,10,3,10,0,31,1,"Episode 113: ""Ponder Pearls"" - The Official BNI Podcast | Episode 113: “Ponder Pearls”"
114,yes,10,3,10,0,32,1,Episode 114: “The BNI Song” | Episode 114: “The BNI Song” - The Official BNI Podcast
115,yes,10,2,10,0,48,1,Episode 115: “Top 10 Ways to Waste Your Time in BNI” | Episode 115: “Top 10 Ways to Waste Your Time in BNI” - The Official BNI Podcast
116,yes,10,3,10,0,37,1,Episode 116: “Full Participation in BNI” | Episode 116: “Full Participation in BNI” - The Official BNI Podcast
117,yes,10,3,10,0,35,1,"Episode 117: Offline & Online Networking, Part 1 | Episode 117: Offline & Online Networking, Part 1 - The Official BNI Podcast"
118,yes,10,3,10,0,37,1,"Episode 118: “Offline & Online Networking, Part 2” | Episode 118: “Offline & Online Networking, Part 2” - The Official BNI Podcast"
119,yes,10,2,10,0,34,1,Episode 119: BNI Foundation Awareness | Episode 119: BNI Foundation Awareness - The Official BNI Podcast
120,yes,10,3,10,0,44,1,Episode 120: “Welcoming Visitors to BNI” | Episode 120: “Welcoming Visitors to BNI” - The Official BNI Podcast
121,yes,10,3,10,0,40,1,Episode 121: Fast Track with Networking Secrets | Episode 121: Fast Track with Networking Secrets - The Official BNI Podcast
122,yes,10,3,10,0,37,1,Episode 122: The Strength of Your Anchor | Episode 122: The Strength of Your Anchor - The Official BNI Podcast
123,yes,10,3,10,0,34,1,Episode 123: “Your Support Network” | Episode 123: “Your Support Network” - The Official BNI Podcast
124,yes,10,2,10,0,36,1,Episode 124: “People Are Talking About You. Are You in the Conversation?” | Episode 124: “People Are Talking About You. Are You in the Conversation?” - The Official BNI Podcast
125,yes,10,3,10,0,35,1,Episode 125: “Take Off Your Bib” | Episode 125: “Take Off Your Bib” - The Official BNI Podcast
126,yes,10,3,10,0,33,1,Episode 126: Networking—It’s More Than Just Talking Business | Episode 126: Networking—It’s More Than Just Talking Business - The Official BNI Podcast
127,yes,10,3,10,0,37,1,Episode 127: “Get Through to Absolutely Anyone” | Episode 127: “Get Through to Absolutely Anyone” - The Official BNI Podcast
128,yes,10,2,10,0,37,1,Episode 128: “Turbo-charging Your One-to-Ones” | Episode 128: “Turbo-charging Your One-to-Ones” - The Official BNI Podcast
129,yes,10,3,10,0,31,1,Episode 129: SuccessNet Online | Episode 129: SuccessNet Online - The Official BNI Podcast
130,yes,10,3,10,0,36,1,Episode 130: “Three Common Delusions About Referral Sources” | Episode 130: “Three Common Delusions About Referral Sources” - The Official BNI Podcast
131,yes,10,3,10,0,36,1,Episode 131: Five Steps to High-Performing Relationships | Episode 131: Five Steps to High-Performing Relationships - The Official BNI Podcast
132,yes,10,2,10,0,33,1,Episode 132: Five Ways to Encourage Employees to Network | Episode 132: Five Ways to Encourage Employees to Network - The Official BNI Podcast
133,yes,15,3,15,0,40,1,"Episode 133: Networks Are ""Clumpy"" - The Official BNI Podcast | Episode 133: Networks Are “Clumpy”"
134,yes,15,3,15,0,36,1,Episode 134: Building a Think Tank for Your Business
135,yes,15,2,15,0,55,1,Episode 135: “The Card File Thingy” | Episode 135: “The Card File Thingy” - The Official BNI Podcast
136,yes,10,3,10,0,47,2,Episode 136: The Secret to Balance | Episode 136: The Secret to Balance - The Official BNI Podcast | Winter Break—Happy New Year!
137,yes,10,3,10,0,37,1,Episode 137: “Don’t Be All Things to All People” | Episode 137: “Don’t Be All Things to All People” - The Official BNI Podcast
138,yes,10,3,10,0,44,1,Episode 138: The Number 1 Trait of a Master Networker
139,yes,10,2,10,0,34,1,Episode 139: Follow-Up's Covered-Now What? - The Official BNI Podcast | Episode 139: Follow-Up’s Covered–Now What?
140,yes,5,2,5,0,27,1,Episode 140: “Business Networking Predictions for 2010” | Episode 140: “Business Networking Predictions for 2010” - The Official BNI Podcast
141,yes,5,2,5,0,28,1,Episode 141: “Referral Mining” | Episode 141: “Referral Mining” - The Official BNI Podcast
142,yes,5,2,5,0,12,2,Episode 142: “BNI Visualized” | Video: “Why Join BNI”
143,yes,10,2,10,0,71,1,Episode 143: Addition by Subtraction | Episode 143: Addition by Subtraction - The Official BNI Podcast
144,yes,5,2,5,0,35,1,Episode 144: “Five Questions to Leave a Lasting Impression” | Episode 144: “Five Questions to Leave a Lasting Impression” - The Official BNI Podcast
145,yes,10,3,10,0,28,1,Episode 145: What's Important When You Refer People? - The Official BNI Podcast | Episode 145: What’s Important When You Refer People?
146,yes,10,3,10,0,34,2,Episode 146: Visibility Through Touchpoints | Episode 146: Visibility Through Touchpoints - The Official BNI Podcast | How to Listen to the Official BNI Podcast
147,yes,10,3,10,0,41,1,Episode 147: Premature Solicitation | Episode 147: Premature Solicitation - The Official BNI Podcast
148,yes,10,2,10,0,42,1,Episode 148: “Relationships Are Irrelevant.” Really?
149,yes,10,3,10,0,31,1,Episode 149: “Use Your Head to Get Your Foot in the Door” | Episode 149: “Use Your Head to Get Your Foot in the Door” - The Official BNI Podcast
150,yes,10,3,10,0,37,1,Episode 150: Relationships Are Currency | Episode 150: Relationships Are Currency - The Official BNI Podcast
151,yes,10,3,10,0,70,1,Episode 151: Power Teams & Contact Spheres | Episode 151: Power Teams & Contact Spheres - The Official BNI Podcast
152,yes,10,2,10,0,43,1,Episode 152: “Do Unique Professions Work in BNI?” | Episode 152: “Do Unique Professions Work in BNI?” - The Official BNI Podcast
153,yes,10,3,10,0,30,1,Episode 153: “The Greatest Weakness of Networking” | Episode 153: “The Greatest Weakness of Networking” - The Official BNI Podcast
154,yes,10,3,10,0,38,1,Episode 154: 25 Years of BNI | Episode 154: 25 Years of BNI - The Official BNI Podcast
155,yes,10,3,10,0,33,1,"Episode 155: “A Referral Is a Referral, Right? Wrong.” Part 1 | Episode 155: “A Referral Is a Referral, Right? Wrong.” Part 1 - The Official BNI Podcast"
156,yes,10,2,10,0,30,1,"Episode 156: “A Referral Is a Referral, Right? Wrong.” Part 2 | Episode 156: “A Referral Is a Referral, Right? Wrong.” Part 2 - The Official BNI Podcast"
157,yes,10,3,10,0,34,1,Episode 157: A Culture of Learning with Fast Track | Episode 157: A Culture of Learning with Fast Track - The Official BNI Podcast
158,yes,10,3,10,0,33,1,Episode 158: “Three Essential Questions” | Episode 158: “Three Essential Questions” - The Official BNI Podcast
159,yes,10,3,10,0,30,1,Episode 159: “Word of Mouth Marketing Checklist” | Episode 159: “Word of Mouth Marketing Checklist” - The Official BNI Podcast
160,yes,10,3,10,0,30,1,Episode 160: “Spinach in Your Teeth” | Episode 160: “Spinach in Your Teeth” - The Official BNI Podcast
161,yes,10,2,10,0,39,1,Episode 161: “Make the Connection” | Episode 161: “Make the Connection” - The Official BNI Podcast
162,yes,10,3,10,0,52,1,Episode 162: “BNI Light Just Isn’t Right” | Episode 162: “BNI Light Just Isn’t Right” - The Official BNI Podcast
163,yes,10,3,10,0,31,1,Episode 163: “Dos and Don’ts of Social Networking” | Episode 163: “Dos and Don’ts of Social Networking” - The Official BNI Podcast
164,yes,10,3,10,0,79,1,Episode 164: “Classification Cowboy” | Episode 164: “Classification Cowboy” - The Official BNI Podcast
165,yes,10,2,10,0,39,1,Episode 165: Working by Referral | Episode 165: Working by Referral - The Official BNI Podcast
166,yes,10,3,10,0,33,1,Episode 166: Competition? No Worries. | Episode 166: Competition? No Worries. - The Official BNI Podcast
167,yes,10,3,10,0,43,1,Episode 167: “Ask the Right Questions” | Episode 167: “Ask the Right Questions” - The Official BNI Podcast
168,yes,10,3,10,0,40,1,Episode 168: Fast Tracking Your Way to Success | Episode 168: Fast Tracking Your Way to Success - The Official BNI Podcast
169,yes,10,2,10,0,33,1,Episode 169: “Need Advice? Your Network Can Help.” | Episode 169: “Need Advice? Your Network Can Help.” - The Official BNI Podcast
170,yes,10,3,10,0,32,1,Episode 170: Get Your Act Together | Episode 170: Get Your Act Together - The Official BNI Podcast
171,yes,10,3,10,0,44,1,Episode 171: & A Business Model That Doesn’t Make Sense | Episode 171: & A Business Model That Doesn’t Make Sense - The Official BNI Podcast
172,yes,10,3,10,0,33,1,Episode 172: “Being in Sync With Your Networking Partners” | Episode 172: “Being in Sync With Your Networking Partners” - The Official BNI Podcast
173,yes,10,3,10,0,123,1,Episode 173: “What Are the First Words Out of Your Mouth?” | Episode 173: “What Are the First Words Out of Your Mouth?” - The Official BNI Podcast
174,yes,10,2,10,0,32,1,Episode 174: “Givers or Takers in BNI” | Episode 174: “Givers or Takers in BNI” - The Official BNI Podcast
175,yes,10,3,10,0,33,1,Episode 175: “7 Ways to Connect with Networking Partners” | Episode 175: “7 Ways to Connect with Networking Partners” - The Official BNI Podcast
176,yes,10,3,10,0,46,1,Episode 176: “What Makes a Good BNI Testimonial?” | Episode 176: “What Makes a Good BNI Testimonial?” - The Official BNI Podcast
177,yes,10,3,10,0,62,1,Episode 177: The Double Triple Effect | Episode 177: The Double Triple Effect - The Official BNI Podcast
178,yes,10,2,10,0,35,1,"Episode 178: “Yeah, But I’m Different” | Episode 178: “Yeah, But I’m Different” - The Official BNI Podcast"
179,yes,10,3,10,0,34,1,Episode 179: The Networking Disconnect | Episode 179: The Networking Disconnect - The Official BNI Podcast
180,yes,10,3,10,0,40,1,Episode 180: Success Is Not an Entitlement | Episode 180: Success Is Not an Entitlement - The Official BNI Podcast
181,yes,10,3,10,0,35,1,Episode 181: Turn the 80/20 Rule Upside Down | Episode 181: Turn the 80/20 Rule Upside Down - The Official BNI Podcast
182,yes,10,2,10,0,63,1,Episode 182: The Best 60-Second Presentation I Ever Heard | Episode 182: The Best 60-Second Presentation I Ever Heard - The Official BNI Podcast
183,yes,15,3,15,0,43,1,Episode 183: “Ten Networking Questions” | Episode 183: “Ten Networking Questions” - The Official BNI Podcast
184,yes,15,3,15,0,37,1,Episode 184: Why BNI’s New Branded Look | Episode 184: Why BNI’s New Branded Look - The Official BNI Podcast
185,yes,15,2,15,0,38,1,Episode 185: The Benefits of BNI's New Branded Look - The Official BNI Podcast | Episode 185: The Benefits of BNI’s New Branded Look
186,yes,10,3,10,0,47,1,Episode 186: 50-70 Members at a BNI Meeting | Episode 186: 50-70 Members at a BNI Meeting - The Official BNI Podcast
187,yes,10,3,10,0,36,1,Episode 187: The Three Core Competencies to Referral Success | Episode 187: The Three Core Competencies to Referral Success - The Official BNI Podcast
188,yes,10,3,10,0,31,1,Episode 188: “What Does My Referral Network Need to Know to Pass Me Business?” | Episode 188: “What Does My Referral Network Need to Know to Pass Me Business?” - The Official BNI Podcast
189,yes,10,2,10,0,43,1,Episode 189: “Expanding Your Overall Sphere of Influence” | Episode 189: “Expanding Your Overall Sphere of Influence” - The Official BNI Podcast
190,yes,10,3,10,0,1,1,Episode 190: “International Networking Week 2011”
191,yes,10,3,10,0,1,1,Episode 191: One-to-Ones Equal More Referrals
192,yes,10,3,10,0,1,1,Episode 192: “What Richard Branson Can Teach You About Networking”
193,yes,10,2,10,0,1,1,Episode 193: “The BNI Connect Vision”
194,yes,10,3,10,0,1,1,Episode 194: “The End Is Near”
195,yes,10,3,10,0,1,1,Episode 195: “Plan an Xtraordinary Year”
196,yes,10,3,10,0,33,1,Episode 196: Three Networking Trends to Watch | Episode 196: Three Networking Trends to Watch - The Official BNI Podcast
197,yes,10,3,10,0,1,1,Episode 197: Mobile Phones in BNI Meetings
198,yes,10,2,10,0,37,1,"Episode 198: ""You Do the Math"" - The Official BNI Podcast | Episode 198: “You Do the Math”"
199,yes,10,3,10,0,35,1,Episode 199: “Sorting Out Who’s Who” | Episode 199: “Sorting Out Who’s Who” - The Official BNI Podcast
200,yes,10,3,10,0,39,1,Episode 200: What's Your Excuse for Not Following Up? - The Official BNI Podcast | Episode 200: What’s Your Excuse for Not Following Up?
201,yes,10,3,10,0,34,1,Episode 201: World's Worst Networker - The Official BNI Podcast | Episode 201: World’s Worst Networker
202,yes,10,2,10,0,48,1,Episode 202: Great Opening Question | Episode 202: Great Opening Question - The Official BNI Podcast
203,yes,10,3,10,0,49,1,Episode 203: “The Rest of the Story” | Episode 203: “The Rest of the Story” - The Official BNI Podcast
204,yes,10,3,10,0,34,1,Episode 204: “BNI’s Multi-Touch Marketing” | Episode 204: “BNI’s Multi-Touch Marketing” - The Official BNI Podcast
205,yes,10,3,10,0,32,1,Episode 205: “Business Index Q1 2011” | Episode 205: “Business Index Q1 2011” - The Official BNI Podcast
206,yes,10,2,10,0,52,1,Episode 206: “You Never Know Who They Know” | Episode 206: “You Never Know Who They Know” - The Official BNI Podcast
207,yes,5,2,5,0,37,1,"Episode 207: ""EGBOK"" - The Official BNI Podcast | Episode 207: “EGBOK”"
208,yes,10,3,10,0,44,1,Episode 208: Behind the GAINS Profile | Episode 208: Behind the GAINS Profile - The Official BNI Podcast
209,yes,10,3,10,0,32,1,Episode 209: “The Ten-Point Checklist” | Episode 209: “The Ten-Point Checklist” - The Official BNI Podcast
